id,name,length,width,height,weight,category,priority,fragility,stackable,access_freq,can_rotate
SYN-cf684648,Synthetic side dish 1,0.81,0.32,0.33,15.46,side dish,2,0,1,1,1
SYN-561b1178,Synthetic ice cream 2,0.85,0.29,0.3,12.63,ice cream,2,1,0,5,1
SYN-aeb85211,Synthetic candy 3,0.76,0.52,0.61,19.38,candy,1,0,1,1,1
SYN-87e4353d,Synthetic candy 4,1.14,0.43,0.46,15.2,candy,1,0,0,6,1
SYN-3a95c8ea,Synthetic instant meals 5,0.58,0.42,0.38,12.36,instant meals,3,0,1,7,1
SYN-b5b60a96,Synthetic dairy products 6,0.69,0.42,0.45,6.3,dairy products,3,0,0,4,1
SYN-279ec976,Synthetic confectionery 7,0.7,0.41,0.62,12.19,confectionery,2,1,0,10,1
SYN-669fe5ec,Synthetic poultry 8,0.77,0.53,0.61,19.17,poultry,3,0,1,2,1
SYN-7758bbd3,Synthetic confectionery 9,1.14,0.49,0.67,14.29,confectionery,2,1,0,9,1
SYN-3e5e2d27,Synthetic bakery products 10,0.66,0.41,0.61,10.14,bakery products,3,1,0,10,1
SYN-66157fd6,Synthetic instant meals 11,0.78,0.53,0.53,20.64,instant meals,2,0,1,6,1
SYN-f271a17e,Synthetic confectionery 12,0.55,0.39,0.38,10.1,confectionery,1,1,0,9,1
SYN-2d5b5fcb,Synthetic bakery products 13,1.18,0.79,0.41,15.63,bakery products,3,1,0,5,1
SYN-cdd4bbea,Synthetic poultry 14,1.18,0.79,0.45,14.64,poultry,2,0,1,7,1
SYN-1fdadf69,Synthetic confectionery 15,1.18,0.78,0.25,14.86,confectionery,1,1,0,9,1
SYN-c4ef253e,Synthetic ice cream 16,1.15,0.41,0.48,13.97,ice cream,3,1,0,5,1
SYN-aa0813aa,Synthetic potatoe products 17,0.55,0.4,0.37,9.37,potatoe products,1,0,0,9,1
SYN-7022d26b,Synthetic instant meals 18,0.55,0.43,0.43,11.16,instant meals,1,0,1,6,1
SYN-3987175a,Synthetic confectionery 19,0.57,0.39,0.57,8.06,confectionery,2,1,0,2,1
SYN-fce8e3e7,Synthetic ice cream 20,0.57,0.42,0.41,12.3,ice cream,3,1,0,4,1
SYN-fb86122a,Synthetic bakery products 21,1.14,0.56,0.68,19.17,bakery products,1,1,0,4,1
SYN-0a565821,Synthetic vegetables 22,1.18,0.79,0.58,14.52,vegetables,1,1,0,6,1
SYN-48727923,Synthetic instant meals 23,0.79,0.56,0.55,18.59,instant meals,3,0,1,3,1
SYN-ed5f6691,Synthetic potatoe products 24,1.15,0.39,0.5,13.13,potatoe products,1,0,1,8,1
SYN-d8f844c4,Synthetic side dish 25,0.59,0.39,0.48,6.88,side dish,2,0,1,3,1
SYN-367d50fd,Synthetic vegetables 26,0.76,0.73,0.38,15.26,vegetables,3,1,0,2,1
SYN-7c3bc8c5,Synthetic potatoe products 27,0.79,0.76,0.39,14.74,potatoe products,3,0,1,5,1
SYN-f79560b1,Synthetic non-food products 28,0.77,0.47,0.62,18.49,non-food products,3,0,1,1,1
SYN-b1de26b5,Synthetic confectionery 29,1.14,0.47,0.64,18.31,confectionery,2,1,0,2,1
